MAC;SSID;CurrentLatitude;CurrentLongitude;Location;Floor;Room
1e:92:9b:e8:5c:d9;eduroam;48.845151;2.357054;Salle 203;2;203
ac:1f:09:0b:a6:ae;eduspot;48.845151;2.357054;Salle 203;2;203
d8:47:32:5c:68:61;CONGRES;48.845151;2.357054;Salle 203;2;203
1e:92:9b:e8:5c:d9;eduroam;48.845129;2.356774;Salle 201;2;201
76:a0:74:60:bb:9d;eduspot;48.845129;2.356774;Salle 201;2;201
86:39:8e:64:5a:8e;SCAI;48.845129;2.356774;Salle 201;2;201
1e:92:9b:e8:5c:d9;eduroam;48.845151;2.357054;Salle 324;3;324
ac:1f:09:0b:a6:ae;eduspot;48.845151;2.357054;Salle 324;3;324
d8:47:32:5c:68:61;CONGRES;48.845151;2.357054;Salle 324;3;324
1e:92:9b:e8:5c:d9;eduroam;48.845295;2.357286;Salle 229;2;229
76:a0:74:60:bb:9d;eduspot;48.845295;2.357286;Salle 229;2;229
58:d9:d5:41:50:32;SCAI;48.845295;2.357286;Salle 229;2;229
e8:65:d4:72:f9:71;CONGRES;48.845295;2.357286;Salle 229;2;229
1e:92:9b:e8:5c:d9;eduroam;48.845378;2.357540;Salle 232;2;232
58:d9:d5:41:50:62;SCAI;48.845378;2.357540;Salle 232;2;232
94:18:65:e6:91:ae;eduspot;48.845378;2.357540;Salle 232;2;232
58:d9:d5:41:50:92;CONGRES;48.845378;2.357540;Salle 232;2;232
